_PARTIES	Democratic	Republican	Total
_COLORS	Blue	Red
Petersburg__VA	12389	1584	14118
Pittsylvania__VA	10115	23751	34227
Poquoson__VA	2054	5605	7857
Portsmouth__VA	30948	12755	44582
Powhatan__VA	5320	14055	19730
Prince_Edward__VA	4973	4434	9574
Prince_George__VA	7103	10103	17432
Prince_William__VA	142863	81222	228056
Pulaski__VA	4925	12127	17376
Radford__VA	3358	2786	6320
Rappahannock__VA	2096	2812	4978
Richmond__VA	92175	16603	111159
Richmond_Co___VA	1513	2547	4102
Roanoke__VA	26773	15607	43323
Roanoke_Co___VA	21801	34268	57184
Rockbridge__VA	4086	8088	12373
Rockingham__VA	12644	30349	43811
Russell__VA	2373	10879	13386
Salem__VA	5148	7683	13051
Scott__VA	1692	9063	10869
Shenandoah__VA	6836	16463	23684
Smyth__VA	3008	10963	14136
Southampton__VA	3969	5730	9786
Spotsylvania__VA	34307	39411	75317
Stafford__VA	40245	37636	79625
Staunton__VA	6981	5695	12990
Suffolk__VA	28676	20082	49642
Surry__VA	2397	2025	4471
Sussex__VA	2827	2219	5088
Tazewell__VA	3205	16731	20134
Virginia_Beach__VA	117393	105087	227561
Warren__VA	6603	14069	21147
Washington__VA	6617	21679	28685
Waynesboro__VA	4961	5507	10717
Westmoreland__VA	4501	5318	9933
Williamsburg__VA	4790	1963	6883
Winchester__VA	6610	5221	12106
Wise__VA	3110	13366	16615
Wythe__VA	3143	11733	15072
York__VA	17683	20241	38787
Adair__KY	1392	7276	8768
Allen__KY	1642	7587	9364
Anderson__KY	3348	9661	13254
Ballard__KY	825	3356	4225
Barren__KY	5127	14654	20064
Bath__KY	1573	3986	5627
Bell__KY	1789	8140	10044
Boone__KY	20901	44814	66998
Bourbon__KY	3296	6190	9648
Boyd__KY	7083	14295	21751
Boyle__KY	5298	8872	14478
Bracken__KY	800	3398	4246
Breathitt__KY	1301	4265	5661
Breckinridge__KY	2350	7701	10201
Bullitt__KY	10552	30708	41998
Butler__KY	1079	4960	6125
Caldwell__KY	1433	4906	6434
Calloway__KY	5797	11352	17457
Campbell__KY	19374	28482	48878
Carlisle__KY	463	2159	2638
Carroll__KY	1116	2954	4136
Carter__KY	2642	8775	11586
Casey__KY	918	6179	7171
Christian__KY	8296	15080	23863
Clark__KY	6004	11811	18139
Clay__KY	831	6677	7591
Clinton__KY	603	4280	4932
Crittenden__KY	731	3451	4242
Cumberland__KY	508	2769	3309
Daviess__KY	17286	31025	49287
Edmonson__KY	1227	4828	6132
Elliott__KY	712	2246	2995
Estill__KY	1355	5100	6540
Fayette__KY	90600	58860	152902
Fleming__KY	1474	5534	7068
Floyd__KY	3884	12250	16353
Franklin__KY	12652	12900	26072
Fulton__KY	794	1606	2426
Gallatin__KY	822	2955	3849
Garrard__KY	1830	6754	8706
Grant__KY	2205	8725	11108
Graves__KY	3560	13206	17019
Grayson__KY	2400	9453	11985
Green__KY	920	4838	5812
Greenup__KY	4873	13064	18176
Hancock__KY	1351	3145	4587
Hardin__KY	18101	29832	48941
Harlan__KY	1494	9367	10971
Harrison__KY	2400	6334	8859
Hart__KY	1908	6345	8369
Henderson__KY	7639	12730	20697
Henry__KY	2142	5843	8110
Hickman__KY	458	1714	2199
Hopkins__KY	5439	15757	21512
Jackson__KY	605	5453	6113
Jefferson__KY	228358	150646	386629
Jessamine__KY	8567	17096	26280
Johnson__KY	1608	8450	10192
Kenton__KY	32271	48129	82198
Knott__KY	1412	4780	6252
Knox__KY	2114	11012	13273
Larue__KY	1504	5685	7301
Laurel__KY	4475	23237	28111
Lawrence__KY	1238	5633	6955
Lee__KY	481	2273	2801
Leslie__KY	446	4321	4813
Letcher__KY	1799	7226	9135
Lewis__KY	823	4986	5883
Lincoln__KY	2254	8489	10914
Livingston__KY	939	4010	5004
Logan__KY	3094	9067	12350
Lyon__KY	1092	3100	4228
Madison__KY	15581	27356	43956
Magoffin__KY	1214	4174	5447
Marion__KY	2722	6113	8928
Marshall__KY	4071	13297	17603
Martin__KY	403	3496	3930
Mason__KY	2362	5477	7958
McCracken__KY	11195	21820	33549
McCreary__KY	725	5664	6438
McLean__KY	1074	3633	4782
Meade__KY	3632	10185	14113
Menifee__KY	750	2311	3102
Mercer__KY	3033	8506	11735
Metcalfe__KY	975	3959	5012
Monroe__KY	657	4628	5330
Montgomery__KY	3630	8993	12842
Morgan__KY	1175	4301	5544
Muhlenberg__KY	3545	10497	14231
Nelson__KY	7188	15703	23256
Nicholas__KY	955	2408	3396
Ohio__KY	2404	8582	11129
Oldham__KY	14505	22654	37976
Owen__KY	1098	4292	5458
Owsley__KY	216	1671	1896
Pendleton__KY	1322	5515	6925
Perry__KY	2356	8129	10626
Pike__KY	4866	20284	25395
Powell__KY	1367	4041	5505
Pulaski__KY	5666	25442	31557
Robertson__KY	253	884	1146
Rockcastle__KY	1134	6577	7784
Rowan__KY	3880	5994	10065
Russell__KY	1331	7519	8955
Scott__KY	10567	17767	28969
Shelby__KY	8077	15055	23550
Simpson__KY	2681	5888	8732
Spencer__KY	2530	8737	11433
Taylor__KY	2963	9376	12517
Todd__KY	1205	4062	5363
Trigg__KY	1791	5487	7376
Trimble__KY	1012	3227	4320
Union__KY	1529	4965	6577
Warren__KY	22479	31791	55401
Washington__KY	1644	4482	6225
Wayne__KY	1700	7430	9240
Webster__KY	1412	4506	5993
Whitley__KY	2552	12567	15356
Wolfe__KY	839	2097	2979
Woodford__KY	6530	8362	15211
Adair__MO	3710	6413	10336
Andrew__MO	2351	7255	9898
Atchison__MO	564	2199	2865
Audrain__MO	2704	7732	10876
Barry__MO	2948	12425	15823
Barton__MO	844	5168	6142
Bates__MO	1672	6597	8563
Benton__MO	2180	8109	10663
Bollinger__MO	750	5167	6049
Boone__MO	50064	38646	93626
Buchanan__MO	13445	22450	37301
Butler__MO	3301	14602	18379
Caldwell__MO	897	3725	4742
Callaway__MO	5870	14815	21603
Camden__MO	5652	18850	25122
Cape_Girardeau__MO	10760	28907	40989
Carroll__MO	786	3706	4572
Carter__MO	418	2451	2925
Cass__MO	19052	37197	58567
Cedar__MO	1145	5788	7155
Chariton__MO	916	3111	4127
Christian__MO	11131	34920	47627
Clark__MO	678	2672	3438
Clay__MO	59400	64605	129133
Clinton__MO	2896	7799	11081
Cole__MO	12694	26086	40278
Cooper__MO	2249	6272	8865
Crawford__MO	2113	8725	11108
Dade__MO	656	3414	4168
Dallas__MO	1380	6619	8209
Daviess__MO	746	3102	3974
DeKalb__MO	930	3828	4928
Dent__MO	1056	5987	7241
Douglas__MO	1016	5898	7086
Dunklin__MO	2200	8135	10503
Franklin__MO	14569	38058	54743
Gasconade__MO	1601	6222	8023
Gentry__MO	613	2581	3280
Greene__MO	55068	83630	144902
Grundy__MO	799	3585	4490
Harrison__MO	597	3198	3857
Henry__MO	2619	8027	10930
Hickory__MO	1056	3966	5138
Holt__MO	338	1976	2372
Howard__MO	1413	3553	5218
Howell__MO	3218	15181	18901
Iron__MO	945	3596	4643
Jackson__MO	199842	126535	333063
Jasper__MO	13549	37728	53427
Jefferson__MO	37523	77046	118807
Johnson__MO	6974	15489	23783
Knox__MO	340	1486	1882
Laclede__MO	2780	13762	17044
Lafayette__MO	4472	12273	17365
Lawrence__MO	3214	14426	18170
Lewis__MO	984	3553	4681
Lincoln__MO	6607	21848	29581
Linn__MO	1275	4363	5814
Livingston__MO	1410	5267	6839
Macon__MO	1662	6076	7934
Madison__MO	1019	4584	5749
Maries__MO	814	3892	4836
Marion__MO	3202	9915	13579
McDonald__MO	1439	7465	9202
Mercer__MO	222	1541	1795
Miller__MO	2038	10176	12550
Mississippi__MO	1178	3537	4797
Moniteau__MO	1308	5744	7262
Monroe__MO	936	3477	4553
Montgomery__MO	1208	4465	5871
Morgan__MO	1924	7442	9608
New_Madrid__MO	1748	5447	7305
Newton__MO	5818	22120	28872
